route_long_name,end_date,route_type,route_text_color,agency_id,route_id,route_color,route_desc,directions,route_url,route_short_name,start_date,direction_id,direction_headsign,direction_name
(M) Vicente Valdes - Gabriela,2019-12-31,3,FFFFFF,TS,224c,0951BC,,"[{'direction_id': 0, 'route_id': '224c', 'direction_headsign': 'Gabriela', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '224c', 'direction_headsign': '(M) Vicente Valdés', 'direction_name': 'Inbound'}]",,224c,2019-07-08,1,(M) Vicente Valdés,Inbound
Pedro Fontova - Santo Tomas,2019-12-31,3,FFFFFF,TS,264N,0951BC,,"[{'direction_id': 1, 'route_id': '264N', 'direction_headsign': 'Pedro Fontova', 'direction_name': 'Inbound'}, {'direction_id': 0, 'route_id': '264N', 'direction_headsign': 'Santo Tomás', 'direction_name': 'Outbound'}]",,264N,2019-07-06,1,Pedro Fontova,Inbound
Pedro Fontova - Santo Tomas,2019-12-31,3,FFFFFF,TS,264N,0951BC,,"[{'direction_id': 1, 'route_id': '264N', 'direction_headsign': 'Pedro Fontova', 'direction_name': 'Inbound'}, {'direction_id': 0, 'route_id': '264N', 'direction_headsign': 'Santo Tomás', 'direction_name': 'Outbound'}]",,264N,2019-07-06,0,Santo Tomás,Outbound
(M) U. De Chile - Lo Espejo,2019-12-31,3,FFFFFF,TS,125,00A77E,,"[{'direction_id': 0, 'route_id': '125', 'direction_headsign': 'Lo Espejo', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '125', 'direction_headsign': '(M) U de Chile', 'direction_name': 'Inbound'}]",,125,2019-07-06,0,Lo Espejo,Outbound
(M) U. De Chile - Lo Espejo,2019-12-31,3,FFFFFF,TS,125,00A77E,,"[{'direction_id': 0, 'route_id': '125', 'direction_headsign': 'Lo Espejo', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '125', 'direction_headsign': '(M) U de Chile', 'direction_name': 'Inbound'}]",,125,2019-07-06,1,(M) U de Chile,Inbound
(M) Santa Ana - La Pintana,2019-12-31,3,FFFFFF,TS,302,00A77E,,"[{'direction_id': 0, 'route_id': '302', 'direction_headsign': 'La Pintana', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '302', 'direction_headsign': '(M) Santa Ana', 'direction_name': 'Inbound'}]",,302,2019-07-06,0,La Pintana,Outbound
(M) Santa Ana - La Pintana,2019-12-31,3,FFFFFF,TS,302,00A77E,,"[{'direction_id': 0, 'route_id': '302', 'direction_headsign': 'La Pintana', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '302', 'direction_headsign': '(M) Santa Ana', 'direction_name': 'Inbound'}]",,302,2019-07-06,1,(M) Santa Ana,Inbound
Villa 4 De Septiembre - Santa Rosa P. 21,2019-12-31,3,FFFFFF,TS,G01c,0951BC,,"[{'direction_id': 1, 'route_id': 'G01c', 'direction_headsign': 'V. 4 de Septiembre', 'direction_name': 'Inbound'}, {'direction_id': 0, 'route_id': 'G01c', 'direction_headsign': 'Sta. Rosa P. 21', 'direction_name': 'Outbound'}]",,G01c,2019-07-08,1,V. 4 de Septiembre,Inbound
Villa 4 De Septiembre - Santa Rosa P. 21,2019-12-31,3,FFFFFF,TS,G01c,0951BC,,"[{'direction_id': 1, 'route_id': 'G01c', 'direction_headsign': 'V. 4 de Septiembre', 'direction_name': 'Inbound'}, {'direction_id': 0, 'route_id': 'G01c', 'direction_headsign': 'Sta. Rosa P. 21', 'direction_name': 'Outbound'}]",,G01c,2019-07-08,0,Sta. Rosa P. 21,Outbound
(M) Escuela Militar - Las Condes,2019-12-31,3,000000,TS,401c,F58220,,"[{'direction_id': 0, 'route_id': '401c', 'direction_headsign': 'Las Condes', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '401c', 'direction_headsign': '(M) Escuela Militar', 'direction_name': 'Inbound'}]",,401c,2019-07-08,0,Las Condes,Outbound
